name,project_category,prediction_time_status,primary_model_use,leakage_role,leakage_rationale
encounter_id,identifier,identifier_only,exclude,EXCLUDE_IDENTIFIER,Unique encounter identifier; no clinical predictive meaning and may enable memorization.
patient_nbr,identifier,group_key_only,grouping_only,GROUP_ONLY,Patient identifier used exclusively to prevent patient leakage across evaluation splits.
race,demographic,available_by_discharge,candidate_feature_demographic_audit,CANDIDATE_FEATURE_AUDIT,"Available by discharge; candidate predictor, but also retained explicitly for subgroup performance audit."
gender,demographic,available_by_discharge,candidate_feature_demographic_audit,CANDIDATE_FEATURE_AUDIT,"Available by discharge; candidate predictor, but also retained explicitly for subgroup performance audit."
age,demographic,available_by_discharge,candidate_feature_demographic_audit,CANDIDATE_FEATURE_AUDIT,"Available by discharge; candidate predictor, but also retained explicitly for subgroup performance audit."
weight,demographic,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
admission_type_id,admission_context,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
discharge_disposition_id,discharge_context,available_at_discharge_cohort_defining,cohort_definition_only,COHORT_ONLY,Used to define the analytic cohort; excluded from the primary predictor set to avoid encoding non-comparable discharge states.
admission_source_id,admission_context,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
time_in_hospital,encounter_course,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
payer_code,administrative,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
medical_specialty,administrative,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
num_lab_procedures,encounter_course,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
num_procedures,encounter_course,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
num_medications,encounter_course,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
number_outpatient,prior_utilization,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
number_emergency,prior_utilization,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
number_inpatient,prior_utilization,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
diag_1,diagnosis,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
diag_2,diagnosis,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
diag_3,diagnosis,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
number_diagnoses,encounter_course,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
max_glu_serum,laboratory,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
A1Cresult,laboratory,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
metformin,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
repaglinide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
nateglinide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
chlorpropamide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
glimepiride,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
acetohexamide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
